perks,down,1,0,0,Thu Feb 08 2018 05:00:02 GMT+0800 (+08),2018-02-08 05:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 05:00:02 GMT+0800 (+08),2018-02-08 05:00:02
sudo,down,1,0,0,Thu Feb 08 2018 05:00:02 GMT+0800 (+08),2018-02-08 05:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 06:00:02 GMT+0800 (+08),2018-02-08 06:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 06:00:02 GMT+0800 (+08),2018-02-08 06:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 06:00:02 GMT+0800 (+08),2018-02-08 06:00:02
perks,down,1,0,0,Thu Feb 08 2018 06:00:02 GMT+0800 (+08),2018-02-08 06:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 06:00:02 GMT+0800 (+08),2018-02-08 06:00:02
sudo,down,1,0,0,Thu Feb 08 2018 06:00:02 GMT+0800 (+08),2018-02-08 06:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 07:00:02 GMT+0800 (+08),2018-02-08 07:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 07:00:02 GMT+0800 (+08),2018-02-08 07:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 07:00:02 GMT+0800 (+08),2018-02-08 07:00:02
perks,down,1,0,0,Thu Feb 08 2018 07:00:02 GMT+0800 (+08),2018-02-08 07:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 07:00:02 GMT+0800 (+08),2018-02-08 07:00:02
sudo,down,1,0,0,Thu Feb 08 2018 07:00:02 GMT+0800 (+08),2018-02-08 07:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 08:00:02 GMT+0800 (+08),2018-02-08 08:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 08:00:02 GMT+0800 (+08),2018-02-08 08:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 08:00:02 GMT+0800 (+08),2018-02-08 08:00:02
perks,down,1,0,0,Thu Feb 08 2018 08:00:02 GMT+0800 (+08),2018-02-08 08:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 08:00:02 GMT+0800 (+08),2018-02-08 08:00:02
sudo,down,1,0,0,Thu Feb 08 2018 08:00:02 GMT+0800 (+08),2018-02-08 08:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 09:00:02 GMT+0800 (+08),2018-02-08 09:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 09:00:02 GMT+0800 (+08),2018-02-08 09:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 09:00:02 GMT+0800 (+08),2018-02-08 09:00:02
perks,down,1,0,0,Thu Feb 08 2018 09:00:02 GMT+0800 (+08),2018-02-08 09:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 09:00:02 GMT+0800 (+08),2018-02-08 09:00:02
sudo,down,1,0,0,Thu Feb 08 2018 09:00:02 GMT+0800 (+08),2018-02-08 09:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 10:00:02 GMT+0800 (+08),2018-02-08 10:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 10:00:02 GMT+0800 (+08),2018-02-08 10:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 10:00:02 GMT+0800 (+08),2018-02-08 10:00:02
perks,down,1,0,0,Thu Feb 08 2018 10:00:02 GMT+0800 (+08),2018-02-08 10:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 10:00:02 GMT+0800 (+08),2018-02-08 10:00:02
sudo,down,1,0,0,Thu Feb 08 2018 10:00:02 GMT+0800 (+08),2018-02-08 10:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 11:00:01 GMT+0800 (+08),2018-02-08 11:00:01
menlo,up,1,1,1.00,Thu Feb 08 2018 11:00:01 GMT+0800 (+08),2018-02-08 11:00:01
perks,down,1,0,0,Thu Feb 08 2018 11:00:01 GMT+0800 (+08),2018-02-08 11:00:01
orange,up,1,1,1.00,Thu Feb 08 2018 11:00:01 GMT+0800 (+08),2018-02-08 11:00:01
cambrige,down,1,0,0,Thu Feb 08 2018 11:00:01 GMT+0800 (+08),2018-02-08 11:00:01
sudo,down,1,0,0,Thu Feb 08 2018 11:00:01 GMT+0800 (+08),2018-02-08 11:00:01
compton,up,1,1,1.00,Thu Feb 08 2018 12:00:02 GMT+0800 (+08),2018-02-08 12:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 12:00:02 GMT+0800 (+08),2018-02-08 12:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 12:00:02 GMT+0800 (+08),2018-02-08 12:00:02
perks,down,1,0,0,Thu Feb 08 2018 12:00:02 GMT+0800 (+08),2018-02-08 12:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 12:00:02 GMT+0800 (+08),2018-02-08 12:00:02
sudo,down,1,0,0,Thu Feb 08 2018 12:00:02 GMT+0800 (+08),2018-02-08 12:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 13:00:01 GMT+0800 (+08),2018-02-08 13:00:01
menlo,up,1,1,1.00,Thu Feb 08 2018 13:00:01 GMT+0800 (+08),2018-02-08 13:00:01
orange,up,1,1,1.00,Thu Feb 08 2018 13:00:01 GMT+0800 (+08),2018-02-08 13:00:01
perks,down,1,0,0,Thu Feb 08 2018 13:00:01 GMT+0800 (+08),2018-02-08 13:00:01
cambrige,down,1,0,0,Thu Feb 08 2018 13:00:01 GMT+0800 (+08),2018-02-08 13:00:01
sudo,down,1,0,0,Thu Feb 08 2018 13:00:01 GMT+0800 (+08),2018-02-08 13:00:01
compton,up,1,1,1.00,Thu Feb 08 2018 14:00:02 GMT+0800 (+08),2018-02-08 14:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 14:00:02 GMT+0800 (+08),2018-02-08 14:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 14:00:02 GMT+0800 (+08),2018-02-08 14:00:02
perks,down,1,0,0,Thu Feb 08 2018 14:00:02 GMT+0800 (+08),2018-02-08 14:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 14:00:02 GMT+0800 (+08),2018-02-08 14:00:02
sudo,down,1,0,0,Thu Feb 08 2018 14:00:02 GMT+0800 (+08),2018-02-08 14:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 15:00:02 GMT+0800 (+08),2018-02-08 15:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 15:00:02 GMT+0800 (+08),2018-02-08 15:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 15:00:02 GMT+0800 (+08),2018-02-08 15:00:02
perks,down,1,0,0,Thu Feb 08 2018 15:00:02 GMT+0800 (+08),2018-02-08 15:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 15:00:02 GMT+0800 (+08),2018-02-08 15:00:02
sudo,down,1,0,0,Thu Feb 08 2018 15:00:02 GMT+0800 (+08),2018-02-08 15:00:02
